segment_id,system_type,location_name,district,pipe_material,diameter_inches,length_ft,install_year,asset_age_years,condition_score,breaks_last_5yr,capacity_utilization_pct,criticality_class,estimated_replacement_cost_usd,last_inspection_date,inspection_method,lat,lon
SEW-00001,Wastewater,Ustick Rd,West Boise,PVC,12,1326,1997,29,78,0,45.7,Medium,525450,2023-07-22,CCTV,43.631469,-116.328837
SEW-00002,Wastewater,Capitol Blvd,Downtown,Vitrified Clay,30,1152,1930,96,5,6,96.2,High,638586,2024-09-07,Flow Monitoring,43.611428,-116.203841
SEW-00003,Wastewater,Victory Rd,Southwest,Vitrified Clay,12,853,1972,54,9,3,77.1,Medium,411901,2025-05-27,Flow Monitoring,43.571189,-116.29278
SEW-00004,Wastewater,8th St,Downtown,Vitrified Clay,12,1608,1947,79,5,5,88.8,Low,505701,2023-10-19,CCTV,43.621298,-116.195157
SEW-00005,Wastewater,Overland Rd,Southwest,Ductile Iron,48,1681,1973,53,52,2,54.7,High,668384,2025-06-22,Smoke Test,43.588464,-116.253634
SEW-00006,Wastewater,8th St,Downtown,Vitrified Clay,6,1338,1949,77,5,11,85.0,Low,265631,2025-07-09,Dye Test,43.609273,-116.194995
SEW-00007,Wastewater,Ustick Rd,West Boise,PVC,24,1202,2000,26,87,0,34.6,Medium,581960,2024-02-07,CCTV,43.63098,-116.309644
SEW-00008,Wastewater,15th St,North End,Vitrified Clay,18,1492,1927,99,5,7,62.1,Low,575477,2024-09-23,Flow Monitoring,43.637093,-116.210603
SEW-00009,Wastewater,Broadway Ave,Southeast,Ductile Iron,30,1284,1984,42,72,1,76.8,High,788582,2023-09-07,Manhole Inspection,43.54,-116.18653
SEW-00010,Wastewater,15th St,North End,Vitrified Clay,8,2287,1933,93,5,7,95.6,High,324296,2023-07-22,Dye Test,43.644481,-116.206465
SEW-00011,Wastewater,Idaho St,Downtown,Vitrified Clay,15,1763,1949,77,6,5,100.0,Low,617414,2025-04-12,Dye Test,43.614575,-116.204556
SEW-00012,Wastewater,Franklin Rd,West Boise,PVC,18,656,2007,19,78,0,58.8,Low,300990,2023-02-11,Smoke Test,43.605761,-116.317347
SEW-00013,Wastewater,Five Mile Rd,Southwest,Orangeburg,18,2279,1961,65,22,2,33.1,Low,849125,2022-12-12,CCTV,43.583718,-116.297083
SEW-00014,Wastewater,Amity Rd,Southwest,PVC,21,279,2010,16,95,0,60.8,High,149778,2024-07-27,Dye Test,43.550671,-116.285962
SEW-00015,Wastewater,Myrtle St,Downtown,Vitrified Clay,21,483,1930,96,5,7,81.2,Low,223220,2024-12-29,Manhole Inspection,43.609868,-116.197384
SEW-00016,Wastewater,Maple Grove Rd,Southwest,Concrete,21,1067,1993,33,62,0,52.4,Medium,521953,2023-10-30,Flow Monitoring,43.6,-116.274468
SEW-00017,Wastewater,Maple Grove Rd,Southwest,PVC,12,1215,1983,43,82,0,67.3,High,233335,2025-07-10,CCTV,43.552976,-116.276971
SEW-00018,Wastewater,15th St,North End,Vitrified Clay,10,328,1929,97,5,5,47.9,High,113335,2025-03-07,Dye Test,43.673771,-116.210575
SEW-00019,Wastewater,Curtis Rd,Southwest,PVC,24,1195,1985,41,80,0,52.4,Medium,225532,2023-07-19,Flow Monitoring,43.6,-116.220155
SEW-00020,Wastewater,Eisenman Rd,Southeast,Ductile Iron,12,448,1993,33,76,1,19.3,High,89359,2023-05-29,Smoke Test,43.54221,-116.170964
