complaint_id,segment_id,district,complaint_type,submitted_date,resolved_date,resolution_status,severity_reported,channel,lat,lon
CMP-00001,SEG-0242,Downtown,Flooding,2025-04-24,2025-05-24,Resolved,Medium,Web Form,43.60693255351829,-116.17355591134717
CMP-00002,SEG-0014,Southwest,Pothole,2025-12-24,2026-01-26,Resolved,Medium,Web Form,43.54636773354194,-116.22011340894618
CMP-00003,SEG-0124,Downtown,Sidewalk,2024-05-23,,In Review,High,Email,43.61143084043778,-116.17364269803032
CMP-00004,SEG-0293,Southeast,Debris,2025-04-28,2025-05-10,In Review,High,Phone,43.57146607482207,-116.16758459160104
CMP-00005,SEG-0286,East Bench,Pothole,2025-08-21,2025-09-16,Resolved,Low,Phone,43.604127817241206,-116.13633195611447
CMP-00006,SEG-0133,Southeast,Crack,2025-11-26,2026-01-14,In Review,Medium,311 App,43.54221217723777,-116.19232000816417
CMP-00007,SEG-0016,Downtown,Debris,2025-03-06,2025-03-10,Pending,Low,311 App,43.60976220741123,-116.20197347322221
CMP-00008,SEG-0223,Southwest,Crack,2025-09-13,2025-09-15,Pending,Low,Email,43.562031515783225,-116.21748451654443
CMP-00009,SEG-0045,West Boise,Sign Damage,2024-07-23,,Pending,High,Phone,43.64141977096862,-116.28621164167183
CMP-00010,SEG-0014,Southwest,Pothole,2024-07-15,,In Review,Low,Phone,43.54387695676738,-116.22180374962743
CMP-00011,SEG-0284,East Bench,Pothole,2025-02-21,2025-04-18,Pending,Medium,Email,43.59640154760314,-116.17617010088055
CMP-00012,SEG-0101,Southeast,Debris,2025-05-27,,In Review,Medium,311 App,43.56895151225029,-116.19949811719728
CMP-00013,SEG-0174,Southwest,Sidewalk,2025-08-05,,In Review,High,311 App,43.598471709981524,-116.2788687059778
CMP-00014,SEG-0296,Southwest,Sidewalk,2024-12-04,,Pending,High,Email,43.571660093255694,-116.24719318872712
CMP-00015,SEG-0155,West Boise,Debris,2024-10-21,,Resolved,High,Email,43.64720157966377,-116.31797623352476
CMP-00016,SEG-0215,Downtown,Flooding,2025-08-19,2025-10-17,In Review,Low,311 App,43.61625418097036,-116.19053047557972
CMP-00017,SEG-0050,West Boise,Debris,2024-03-01,,In Review,High,311 App,43.63037546880691,-116.31107035239273
CMP-00018,SEG-0289,Southeast,Sidewalk,2025-09-16,2025-11-04,Resolved,High,311 App,43.58937263113118,-116.175828409485
CMP-00019,SEG-0160,West Boise,Crack,2024-03-23,2024-04-23,Pending,Low,311 App,43.59814240033914,-116.29328258293839
CMP-00020,SEG-0041,North End,Sidewalk,2025-03-17,2025-05-07,Resolved,Low,311 App,43.65038741527788,-116.17619270975675
CMP-00021,SEG-0241,Downtown,Pavement Failure,2025-09-14,2025-10-28,In Review,Low,Email,43.60155356167039,-116.18204827393814
CMP-00022,SEG-0051,West Boise,Crack,2025-03-16,2025-04-21,Resolved,Critical,311 App,43.63705158691501,-116.33684186177256
CMP-00023,SEG-0039,North End,Pothole,2024-07-17,,Resolved,Medium,311 App,43.652131469895664,-116.22222149645528
CMP-00024,SEG-0079,Southwest,Pothole,2025-07-03,2025-08-24,In Review,Medium,311 App,43.58716744670298,-116.28521513642268
CMP-00025,SEG-0224,Southwest,Debris,2024-02-14,,In Review,Medium,Web Form,43.59851886497754,-116.22456072539644
CMP-00026,SEG-0128,Southeast,Flooding,2025-11-03,,In Review,Medium,Email,43.595821020744296,-116.1969943006569
CMP-00027,SEG-0006,Southeast,Flooding,2024-08-13,2024-09-02,In Review,High,Phone,43.5434753767511,-116.19491085900286
CMP-00028,SEG-0008,Southwest,Flooding,2025-05-30,,Pending,Critical,Web Form,43.541359784307346,-116.28983880314966
CMP-00029,SEG-0283,East Bench,Pavement Failure,2025-06-17,,In Review,Medium,311 App,43.59968755994024,-116.15317948116218
CMP-00030,SEG-0292,Southeast,Sidewalk,2024-08-28,2024-10-09,Pending,Low,311 App,43.53999562996138,-116.17236297526554
CMP-00031,SEG-0255,Downtown,Pothole,2025-01-28,,Resolved,High,Email,43.61273942999467,-116.19640990875868
CMP-00032,SEG-0228,North End,Sign Damage,2024-02-15,,Resolved,Critical,311 App,43.67500960982684,-116.19977677560217
CMP-00033,SEG-0002,Southeast,Flooding,2024-01-27,2024-03-16,Pending,Medium,311 App,43.54289977753991,-116.14892904217989
CMP-00034,SEG-0256,Downtown,Pavement Failure,2025-03-13,2025-05-12,Resolved,Low,Email,43.617646894374644,-116.21349710921604
CMP-00035,SEG-0111,East Bench,Pavement Failure,2025-07-01,2025-08-07,In Review,High,Phone,43.60964922003261,-116.17513067010803
CMP-00036,SEG-0232,North End,Pothole,2024-08-31,,Pending,High,311 App,43.6643182243641,-116.22891464318208
CMP-00037,SEG-0247,Downtown,Debris,2025-08-07,,Pending,High,Web Form,43.60686391977413,-116.21363729484948
CMP-00038,SEG-0179,Southwest,Flooding,2025-09-14,,In Review,High,Web Form,43.58015437067231,-116.27383576525716
