monitor_id,segment_id,system_type,year,month,avg_flow_pct,peak_flow_pct,measurement_type
MON-SEW-01744-2025-01,SEW-01744,Wastewater,2025,1,101.1,134.8,Flow
MON-SEW-01744-2025-02,SEW-01744,Wastewater,2025,2,120.0,145.2,Flow
MON-SEW-01744-2025-03,SEW-01744,Wastewater,2025,3,100.8,150.0,Flow
MON-SEW-01744-2025-04,SEW-01744,Wastewater,2025,4,97.4,150.0,Flow
MON-SEW-01744-2025-05,SEW-01744,Wastewater,2025,5,87.1,113.1,Flow
MON-SEW-01744-2025-06,SEW-01744,Wastewater,2025,6,98.9,148.9,Flow
MON-SEW-01744-2025-07,SEW-01744,Wastewater,2025,7,80.2,137.5,Flow
MON-SEW-01744-2025-08,SEW-01744,Wastewater,2025,8,88.5,139.2,Flow
MON-SEW-01744-2025-09,SEW-01744,Wastewater,2025,9,97.4,150.0,Flow
MON-SEW-01744-2025-10,SEW-01744,Wastewater,2025,10,86.6,149.3,Flow
MON-SEW-01744-2025-11,SEW-01744,Wastewater,2025,11,90.5,111.1,Flow
MON-SEW-01744-2025-12,SEW-01744,Wastewater,2025,12,117.8,150.0,Flow
MON-SEW-02197-2025-01,SEW-02197,Wastewater,2025,1,66.5,102.4,Flow
MON-SEW-02197-2025-02,SEW-02197,Wastewater,2025,2,67.4,97.6,Flow
MON-SEW-02197-2025-03,SEW-02197,Wastewater,2025,3,80.7,118.0,Flow
MON-SEW-02197-2025-04,SEW-02197,Wastewater,2025,4,69.1,112.5,Flow
MON-SEW-02197-2025-05,SEW-02197,Wastewater,2025,5,66.9,102.2,Flow
MON-SEW-02197-2025-06,SEW-02197,Wastewater,2025,6,54.2,71.2,Flow
MON-SEW-02197-2025-07,SEW-02197,Wastewater,2025,7,52.4,93.1,Flow
MON-SEW-02197-2025-08,SEW-02197,Wastewater,2025,8,53.1,71.2,Flow
MON-SEW-02197-2025-09,SEW-02197,Wastewater,2025,9,72.2,103.5,Flow
MON-SEW-02197-2025-10,SEW-02197,Wastewater,2025,10,74.4,106.3,Flow
MON-SEW-02197-2025-11,SEW-02197,Wastewater,2025,11,70.5,114.8,Flow
MON-SEW-02197-2025-12,SEW-02197,Wastewater,2025,12,84.6,102.9,Flow
MON-SEW-01729-2025-01,SEW-01729,Wastewater,2025,1,51.6,92.5,Flow
MON-SEW-01729-2025-02,SEW-01729,Wastewater,2025,2,61.1,83.9,Flow
MON-SEW-01729-2025-03,SEW-01729,Wastewater,2025,3,58.3,86.2,Flow
MON-SEW-01729-2025-04,SEW-01729,Wastewater,2025,4,52.2,87.2,Flow
MON-SEW-01729-2025-05,SEW-01729,Wastewater,2025,5,47.2,59.8,Flow
MON-SEW-01729-2025-06,SEW-01729,Wastewater,2025,6,39.6,65.2,Flow
MON-SEW-01729-2025-07,SEW-01729,Wastewater,2025,7,42.5,75.0,Flow
MON-SEW-01729-2025-08,SEW-01729,Wastewater,2025,8,44.5,79.2,Flow
MON-SEW-01729-2025-09,SEW-01729,Wastewater,2025,9,42.8,74.7,Flow
MON-SEW-01729-2025-10,SEW-01729,Wastewater,2025,10,44.0,73.4,Flow
MON-SEW-01729-2025-11,SEW-01729,Wastewater,2025,11,54.6,83.1,Flow
MON-SEW-01729-2025-12,SEW-01729,Wastewater,2025,12,63.4,83.5,Flow
MON-SEW-03338-2025-01,SEW-03338,Wastewater,2025,1,31.4,38.8,Flow
MON-SEW-03338-2025-02,SEW-03338,Wastewater,2025,2,33.2,41.8,Flow
