request_id,segment_id,system_type,district,request_type,submitted_date,resolved_date,resolution_status,severity,channel,lat,lon
SR-00001,PIPE-0238,Sewer,West Boise,Manhole Overflow,2025-02-22,2025-03-14,Pending,Medium,SCADA,43.598434600727046,-116.31442105023585
SR-00002,PIPE-0383,Sewer,Southeast,Manhole Overflow,2025-09-30,2025-10-13,Pending,Medium,SCADA,43.58826848790519,-116.1979168647238
SR-00003,PIPE-0092,Sewer,East Bench,Root Intrusion Report,2024-01-25,2024-02-19,In Review,Medium,Web Form,43.62398953022081,-116.17427747933378
SR-00004,PIPE-0461,Sewer,Southwest,Manhole Overflow,2025-10-18,2025-10-31,Pending,High,SCADA,43.58801079392326,-116.29846713726941
SR-00005,PIPE-0024,Water,West Boise,Hydrant Issue,2025-05-13,,In Review,Low,311 App,43.64483484902529,-116.31932199976619
SR-00006,PIPE-0479,Sewer,Downtown,Sewer Backup,2024-02-24,,Pending,High,Phone,43.60951333722468,-116.19953917366442
SR-00007,PIPE-0256,Water,Downtown,Hydrant Issue,2024-03-08,2024-03-29,Pending,Critical,Web Form,43.62681441286728,-116.19747303580405
SR-00008,PIPE-0313,Water,North End,Discolored Water,2025-07-29,,Resolved,Critical,311 App,43.64096922072143,-116.22564984442968
SR-00009,PIPE-0231,Water,North End,Water Main Break,2025-07-19,2025-09-02,In Review,Medium,311 App,43.63929347635989,-116.20709241483864
SR-00010,PIPE-0259,Stormwater,North End,Standing Water,2024-02-10,,Pending,Critical,SCADA,43.649431831829766,-116.20027818352192
SR-00011,PIPE-0404,Water,Southeast,Hydrant Issue,2025-01-06,2025-02-13,Resolved,Critical,311 App,43.54188118682777,-116.19821358368779
SR-00012,PIPE-0031,Stormwater,East Bench,Street Flooding,2024-12-13,2025-01-06,Resolved,Medium,Web Form,43.606010492635534,-116.17333294397147
SR-00013,PIPE-0432,Stormwater,West Boise,Erosion Report,2025-11-15,,Pending,Low,Web Form,43.636403250233165,-116.29947072932366
SR-00014,PIPE-0500,Water,Downtown,Water Main Break,2025-08-27,2025-09-07,Pending,Medium,Web Form,43.608339145573154,-116.2183828805114
SR-00015,PIPE-0031,Stormwater,East Bench,Clogged Drain,2024-11-22,2024-11-26,In Review,High,Web Form,43.60509672427261,-116.1752682013113
SR-00016,PIPE-0184,Stormwater,Southeast,Erosion Report,2025-11-03,2025-11-09,In Review,Low,Phone,43.58076016010291,-116.19829381937909
SR-00017,PIPE-0205,Water,East Bench,Leak Report,2025-08-10,,Resolved,Critical,SCADA,43.60800758854044,-116.12560584686732
SR-00018,PIPE-0107,Sewer,Downtown,Root Intrusion Report,2025-01-19,,Pending,Critical,Web Form,43.61170236053106,-116.1756150436187
SR-00019,PIPE-0426,Water,Downtown,Low Pressure,2024-07-16,2024-08-03,Pending,Low,Web Form,43.62744591654863,-116.20156272342678
SR-00020,PIPE-0100,Water,Southwest,Discolored Water,2024-05-11,2024-05-18,Resolved,Medium,Web Form,43.57626383667833,-116.25440136476894
SR-00021,PIPE-0340,Stormwater,West Boise,Street Flooding,2024-03-30,2024-03-31,In Review,High,311 App,43.63289697516223,-116.30957849448593
SR-00022,PIPE-0380,Water,Southeast,No Water,2025-04-16,2025-05-08,Resolved,Low,311 App,43.58640059052189,-116.19369891475993
SR-00023,PIPE-0418,Sewer,Downtown,Sewer Backup,2024-03-24,,Resolved,Critical,Phone,43.59884087616354,-116.18660908329441
SR-00024,PIPE-0261,Sewer,Downtown,Manhole Overflow,2025-10-02,2025-11-02,In Review,Critical,Phone,43.59987684182191,-116.19721974102842
SR-00025,PIPE-0136,Water,Downtown,Low Pressure,2024-03-03,2024-04-05,Resolved,Medium,Phone,43.6053000463798,-116.21848729340607
SR-00026,PIPE-0199,Water,Southwest,Low Pressure,2024-07-12,2024-08-26,Resolved,Medium,Web Form,43.590946144964214,-116.29718013781755
SR-00027,PIPE-0389,Water,Downtown,Leak Report,2025-08-29,,In Review,High,Phone,43.60564109322939,-116.21870212571785
SR-00028,PIPE-0305,Water,Downtown,No Water,2025-06-27,,Pending,High,Phone,43.61480361334984,-116.20622586809307
SR-00029,PIPE-0033,Sewer,East Bench,Sewer Backup,2024-03-02,2024-03-30,In Review,Critical,311 App,43.592443670656216,-116.1650519955132
SR-00030,PIPE-0396,Sewer,Southwest,Sewer Backup,2025-01-05,2025-02-13,In Review,High,Web Form,43.572723147803494,-116.24088822941222
SR-00031,PIPE-0199,Water,Southwest,Leak Report,2025-05-26,,Pending,Medium,Phone,43.59026991650589,-116.29792020206514
SR-00032,PIPE-0261,Sewer,Downtown,Slow Drain,2025-04-21,2025-05-12,Pending,Critical,SCADA,43.598610739384355,-116.19719456321958
SR-00033,PIPE-0370,Water,Downtown,Leak Report,2024-01-26,2024-02-16,In Review,Medium,SCADA,43.62047984019989,-116.19999147493054
SR-00034,PIPE-0264,Sewer,Southwest,Manhole Overflow,2024-06-25,,Resolved,Low,311 App,43.540425166576874,-116.29833240069011
SR-00035,PIPE-0269,Sewer,East Bench,Odor Complaint,2024-01-23,2024-02-03,In Review,High,Phone,43.59394478423615,-116.15112470000207
SR-00036,PIPE-0164,Sewer,Downtown,Slow Drain,2025-03-21,2025-04-01,In Review,Low,Web Form,43.616909757666406,-116.20022837568281
SR-00037,PIPE-0464,Stormwater,North End,Clogged Drain,2025-05-03,2025-05-13,In Review,Critical,Phone,43.657361381654816,-116.18533412962542
SR-00038,PIPE-0333,Stormwater,Southeast,Erosion Report,2024-06-11,,In Review,Critical,311 App,43.54445246327881,-116.18670245311826
SR-00039,PIPE-0012,Sewer,Downtown,Odor Complaint,2025-01-17,2025-01-26,In Review,Critical,311 App,43.60249883915016,-116.19200196593424
SR-00040,PIPE-0165,Stormwater,West Boise,Standing Water,2024-11-30,2024-12-21,Pending,High,Web Form,43.63631631818802,-116.33152457675031
SR-00041,PIPE-0331,Water,North End,No Water,2025-10-09,2025-10-24,In Review,Medium,Phone,43.63950035168038,-116.17689998983256
