segment_id,system_type,corridor_name,district,pipe_class,pipe_material,diameter_inches,length_ft,depth_ft,install_year,asset_age_years,condition_score,breaks_last_5yr,soil_corrosivity,capacity_utilization_pct,ii_risk_flag,criticality_class,estimated_replacement_cost_usd,last_inspection_date,inspection_method,lat,lon
SEW-00001,Wastewater,Ustick Rd,West Boise,collector,PVC,12,1326,7.0,1997,29,85,0,0.5,45.7,False,Medium,525450,2023-07-22,CCTV,43.631469,-116.328837
SEW-00002,Wastewater,Capitol Blvd,Downtown,trunk,Vitrified Clay,30,1152,9.0,1930,96,36,6,0.78,96.2,True,High,638586,2024-09-07,Flow Monitoring,43.611428,-116.203841
SEW-00003,Wastewater,Victory Rd,Southwest,collector,Vitrified Clay,12,853,8.1,1972,54,42,3,0.6,77.1,True,Medium,411901,2025-05-27,Flow Monitoring,43.571189,-116.29278
SEW-00004,Wastewater,8th St,Downtown,lateral,Vitrified Clay,12,1608,19.6,1947,79,40,5,0.78,88.8,True,Low,505701,2023-10-19,CCTV,43.621298,-116.195157
SEW-00005,Wastewater,Overland Rd,Southwest,trunk,Ductile Iron,48,1681,5.9,1973,53,72,2,0.6,54.7,False,High,668384,2025-06-22,Smoke Test,43.588464,-116.253634
SEW-00006,Wastewater,8th St,Downtown,lateral,Vitrified Clay,6,1338,8.3,1949,77,44,11,0.78,85.0,True,Low,265631,2025-07-09,Dye Test,43.609273,-116.194995
SEW-00007,Wastewater,Ustick Rd,West Boise,collector,PVC,24,1202,24.8,2000,26,93,0,0.5,34.6,False,Medium,581960,2024-02-07,CCTV,43.63098,-116.309644
SEW-00008,Wastewater,15th St,North End,lateral,Vitrified Clay,18,1492,23.3,1927,99,24,7,0.72,62.1,True,Low,575477,2024-09-23,Flow Monitoring,43.637093,-116.210603
SEW-00009,Wastewater,Broadway Ave,Southeast,trunk,Ductile Iron,30,1284,15.8,1984,42,87,1,0.55,76.8,False,High,788582,2023-09-07,Manhole Inspection,43.54,-116.18653
SEW-00010,Wastewater,15th St,North End,lateral,Vitrified Clay,8,2287,22.2,1933,93,39,7,0.72,95.6,True,High,324296,2023-07-22,Dye Test,43.644481,-116.206465
