traffic_id,segment_id,year,month,aadt,heavy_vehicle_pct,peak_hour_volume,congestion_index
TRF-SEG-0001-2025-01,SEG-0001,2025,1,11694,20.9,1114,0.55
TRF-SEG-0001-2025-02,SEG-0001,2025,2,10157,12.0,967,0.18
TRF-SEG-0001-2025-03,SEG-0001,2025,3,9433,9.3,773,0.48
TRF-SEG-0001-2025-04,SEG-0001,2025,4,9293,8.1,808,0.36
TRF-SEG-0001-2025-05,SEG-0001,2025,5,9381,19.2,1113,0.64
TRF-SEG-0001-2025-06,SEG-0001,2025,6,10666,15.8,1242,0.9
TRF-SEG-0001-2025-07,SEG-0001,2025,7,11259,3.3,1221,0.83
TRF-SEG-0001-2025-08,SEG-0001,2025,8,11555,12.5,1381,0.63
TRF-SEG-0001-2025-09,SEG-0001,2025,9,11860,13.3,1193,0.76
TRF-SEG-0001-2025-10,SEG-0001,2025,10,13146,6.8,1098,0.14
TRF-SEG-0001-2025-11,SEG-0001,2025,11,12131,17.6,983,0.74
TRF-SEG-0001-2025-12,SEG-0001,2025,12,12459,5.1,1460,0.85
TRF-SEG-0002-2025-01,SEG-0002,2025,1,45727,20.6,4088,0.65
TRF-SEG-0002-2025-02,SEG-0002,2025,2,41079,15.6,4264,0.81
TRF-SEG-0002-2025-03,SEG-0002,2025,3,38814,12.9,3332,0.19
TRF-SEG-0002-2025-04,SEG-0002,2025,4,39055,24.2,4266,0.53
TRF-SEG-0002-2025-05,SEG-0002,2025,5,37898,24.2,4438,0.51
TRF-SEG-0002-2025-06,SEG-0002,2025,6,41486,21.7,4929,0.84
TRF-SEG-0002-2025-07,SEG-0002,2025,7,45388,9.7,3882,0.71
TRF-SEG-0002-2025-08,SEG-0002,2025,8,45540,22.4,4291,0.51
TRF-SEG-0002-2025-09,SEG-0002,2025,9,51539,15.6,5030,0.51
TRF-SEG-0002-2025-10,SEG-0002,2025,10,48610,3.3,4224,0.75
TRF-SEG-0002-2025-11,SEG-0002,2025,11,46386,4.0,4590,0.48
TRF-SEG-0002-2025-12,SEG-0002,2025,12,42914,21.5,4878,0.4
TRF-SEG-0003-2025-01,SEG-0003,2025,1,2204,16.1,184,0.62
TRF-SEG-0003-2025-02,SEG-0003,2025,2,2038,6.5,235,0.64
TRF-SEG-0003-2025-03,SEG-0003,2025,3,2084,20.4,216,0.44
TRF-SEG-0003-2025-04,SEG-0003,2025,4,2136,6.3,232,0.41
TRF-SEG-0003-2025-05,SEG-0003,2025,5,2199,17.7,250,0.63
TRF-SEG-0003-2025-06,SEG-0003,2025,6,2026,3.9,190,0.67
TRF-SEG-0003-2025-07,SEG-0003,2025,7,2269,20.4,253,0.44
TRF-SEG-0003-2025-08,SEG-0003,2025,8,2479,4.0,287,0.61
TRF-SEG-0003-2025-09,SEG-0003,2025,9,2529,9.3,292,0.65
TRF-SEG-0003-2025-10,SEG-0003,2025,10,2740,10.3,260,0.19
TRF-SEG-0003-2025-11,SEG-0003,2025,11,2851,15.8,326,0.63
TRF-SEG-0003-2025-12,SEG-0003,2025,12,2595,7.0,274,0.81
TRF-SEG-0004-2025-01,SEG-0004,2025,1,5375,18.4,490,0.59
TRF-SEG-0004-2025-02,SEG-0004,2025,2,4568,8.5,413,0.59
TRF-SEG-0004-2025-03,SEG-0004,2025,3,4046,13.0,374,0.15
TRF-SEG-0004-2025-04,SEG-0004,2025,4,3942,15.3,331,0.21
TRF-SEG-0004-2025-05,SEG-0004,2025,5,4715,10.8,520,0.76
TRF-SEG-0004-2025-06,SEG-0004,2025,6,4585,14.9,389,0.5
TRF-SEG-0004-2025-07,SEG-0004,2025,7,5091,20.4,452,0.53
TRF-SEG-0004-2025-08,SEG-0004,2025,8,5437,14.0,568,0.8
TRF-SEG-0004-2025-09,SEG-0004,2025,9,5355,8.7,531,0.89
TRF-SEG-0004-2025-10,SEG-0004,2025,10,6020,12.8,620,0.44
TRF-SEG-0004-2025-11,SEG-0004,2025,11,5797,4.4,533,0.27
TRF-SEG-0004-2025-12,SEG-0004,2025,12,5694,15.9,627,0.68
TRF-SEG-0005-2025-01,SEG-0005,2025,1,321,19.6,33,0.75
TRF-SEG-0005-2025-02,SEG-0005,2025,2,328,22.2,35,0.19
TRF-SEG-0005-2025-03,SEG-0005,2025,3,273,18.8,31,0.37
TRF-SEG-0005-2025-04,SEG-0005,2025,4,301,4.0,27,0.55
TRF-SEG-0005-2025-05,SEG-0005,2025,5,267,10.3,30,0.12
TRF-SEG-0005-2025-06,SEG-0005,2025,6,288,22.9,26,0.34
TRF-SEG-0005-2025-07,SEG-0005,2025,7,310,5.7,26,0.35
TRF-SEG-0005-2025-08,SEG-0005,2025,8,327,7.3,29,0.12
TRF-SEG-0005-2025-09,SEG-0005,2025,9,375,11.8,30,0.7
TRF-SEG-0005-2025-10,SEG-0005,2025,10,377,23.1,41,0.72
TRF-SEG-0005-2025-11,SEG-0005,2025,11,349,8.7,35,0.7
TRF-SEG-0005-2025-12,SEG-0005,2025,12,361,15.0,42,0.68
TRF-SEG-0006-2025-01,SEG-0006,2025,1,56435,13.2,5758,0.18
TRF-SEG-0006-2025-02,SEG-0006,2025,2,45995,9.0,4630,0.9
TRF-SEG-0006-2025-03,SEG-0006,2025,3,48517,21.5,5089,0.84
TRF-SEG-0006-2025-04,SEG-0006,2025,4,46232,23.8,4708,0.59
TRF-SEG-0006-2025-05,SEG-0006,2025,5,46670,20.7,4198,0.88
TRF-SEG-0006-2025-06,SEG-0006,2025,6,48490,16.6,4733,0.84
TRF-SEG-0006-2025-07,SEG-0006,2025,7,52297,9.9,6050,0.17
TRF-SEG-0006-2025-08,SEG-0006,2025,8,55844,8.7,5167,0.63
TRF-SEG-0006-2025-09,SEG-0006,2025,9,56483,16.5,6150,0.64
TRF-SEG-0006-2025-10,SEG-0006,2025,10,56977,18.1,5647,0.39
TRF-SEG-0006-2025-11,SEG-0006,2025,11,62134,11.4,6697,0.38
TRF-SEG-0006-2025-12,SEG-0006,2025,12,53369,4.7,5727,0.15
TRF-SEG-0007-2025-01,SEG-0007,2025,1,5398,14.8,598,0.75
TRF-SEG-0007-2025-02,SEG-0007,2025,2,4519,9.9,435,0.67
TRF-SEG-0007-2025-03,SEG-0007,2025,3,4193,14.3,379,0.4
TRF-SEG-0007-2025-04,SEG-0007,2025,4,4047,13.7,331,0.58
TRF-SEG-0007-2025-05,SEG-0007,2025,5,4568,9.6,390,0.52
TRF-SEG-0007-2025-06,SEG-0007,2025,6,4802,6.9,440,0.4
TRF-SEG-0007-2025-07,SEG-0007,2025,7,5023,22.0,559,0.69
TRF-SEG-0007-2025-08,SEG-0007,2025,8,5560,12.6,555,0.14
TRF-SEG-0007-2025-09,SEG-0007,2025,9,6059,8.8,488,0.73
TRF-SEG-0007-2025-10,SEG-0007,2025,10,5716,12.3,540,0.71
TRF-SEG-0007-2025-11,SEG-0007,2025,11,5643,22.6,580,0.73
TRF-SEG-0007-2025-12,SEG-0007,2025,12,5341,10.0,474,0.73
TRF-SEG-0008-2025-01,SEG-0008,2025,1,50628,3.6,4315,0.79
TRF-SEG-0008-2025-02,SEG-0008,2025,2,43718,20.6,5029,0.73
TRF-SEG-0008-2025-03,SEG-0008,2025,3,44381,7.1,4293,0.66
TRF-SEG-0008-2025-04,SEG-0008,2025,4,38103,11.7,3557,0.59
TRF-SEG-0008-2025-05,SEG-0008,2025,5,40178,4.2,4330,0.64
TRF-SEG-0008-2025-06,SEG-0008,2025,6,42223,7.1,3673,0.34
TRF-SEG-0008-2025-07,SEG-0008,2025,7,51849,20.6,5035,0.81
TRF-SEG-0008-2025-08,SEG-0008,2025,8,53501,13.4,5138,0.71
TRF-SEG-0008-2025-09,SEG-0008,2025,9,55530,11.6,4672,0.24
TRF-SEG-0008-2025-10,SEG-0008,2025,10,57369,5.2,5444,0.88
TRF-SEG-0008-2025-11,SEG-0008,2025,11,54570,24.0,5529,0.51
TRF-SEG-0008-2025-12,SEG-0008,2025,12,50963,4.3,5627,0.88
TRF-SEG-0009-2025-01,SEG-0009,2025,1,31763,13.4,3196,0.42
TRF-SEG-0009-2025-02,SEG-0009,2025,2,32928,24.8,2802,0.8
TRF-SEG-0009-2025-03,SEG-0009,2025,3,28394,16.1,3341,0.46
TRF-SEG-0009-2025-04,SEG-0009,2025,4,30608,3.3,3430,0.46
TRF-SEG-0009-2025-05,SEG-0009,2025,5,32331,12.0,2926,0.23
TRF-SEG-0009-2025-06,SEG-0009,2025,6,33443,4.7,3652,0.84
TRF-SEG-0009-2025-07,SEG-0009,2025,7,31975,14.6,2850,0.71
TRF-SEG-0009-2025-08,SEG-0009,2025,8,36892,8.0,3461,0.57
TRF-SEG-0009-2025-09,SEG-0009,2025,9,38198,19.6,3129,0.54
TRF-SEG-0009-2025-10,SEG-0009,2025,10,42602,17.0,4036,0.31
TRF-SEG-0009-2025-11,SEG-0009,2025,11,38996,9.8,3312,0.55
TRF-SEG-0009-2025-12,SEG-0009,2025,12,38506,14.1,4433,0.39
TRF-SEG-0010-2025-01,SEG-0010,2025,1,8517,23.9,697,0.64
TRF-SEG-0010-2025-02,SEG-0010,2025,2,7487,9.7,708,0.62
TRF-SEG-0010-2025-03,SEG-0010,2025,3,6939,6.2,609,0.8
TRF-SEG-0010-2025-04,SEG-0010,2025,4,6526,23.8,562,0.67
TRF-SEG-0010-2025-05,SEG-0010,2025,5,7063,19.9,738,0.69
TRF-SEG-0010-2025-06,SEG-0010,2025,6,8151,18.0,854,0.75
TRF-SEG-0010-2025-07,SEG-0010,2025,7,7643,12.6,847,0.71
TRF-SEG-0010-2025-08,SEG-0010,2025,8,8438,9.5,891,0.69
TRF-SEG-0010-2025-09,SEG-0010,2025,9,9234,3.7,1059,0.54
TRF-SEG-0010-2025-10,SEG-0010,2025,10,9233,6.7,765,0.48
TRF-SEG-0010-2025-11,SEG-0010,2025,11,9567,17.4,788,0.78
TRF-SEG-0010-2025-12,SEG-0010,2025,12,8951,11.5,804,0.13
TRF-SEG-0011-2025-01,SEG-0011,2025,1,2482,17.0,201,0.59
TRF-SEG-0011-2025-02,SEG-0011,2025,2,2471,8.0,268,0.5
TRF-SEG-0011-2025-03,SEG-0011,2025,3,2094,16.7,186,0.78
TRF-SEG-0011-2025-04,SEG-0011,2025,4,2301,3.3,263,0.79
TRF-SEG-0011-2025-05,SEG-0011,2025,5,2322,19.3,233,0.67
TRF-SEG-0011-2025-06,SEG-0011,2025,6,2321,13.4,212,0.82
TRF-SEG-0011-2025-07,SEG-0011,2025,7,2691,10.6,233,0.3
TRF-SEG-0011-2025-08,SEG-0011,2025,8,2926,24.0,264,0.44
TRF-SEG-0011-2025-09,SEG-0011,2025,9,3033,7.6,307,0.39
TRF-SEG-0011-2025-10,SEG-0011,2025,10,2730,16.3,242,0.66
TRF-SEG-0011-2025-11,SEG-0011,2025,11,2907,3.3,312,0.7
TRF-SEG-0011-2025-12,SEG-0011,2025,12,2875,17.7,257,0.58
TRF-SEG-0012-2025-01,SEG-0012,2025,1,17502,13.0,1751,0.63
TRF-SEG-0012-2025-02,SEG-0012,2025,2,18185,19.2,2039,0.55
TRF-SEG-0012-2025-03,SEG-0012,2025,3,15948,15.9,1604,0.22
TRF-SEG-0012-2025-04,SEG-0012,2025,4,16743,18.2,1380,0.89
TRF-SEG-0012-2025-05,SEG-0012,2025,5,15661,15.7,1336,0.48
TRF-SEG-0012-2025-06,SEG-0012,2025,6,16538,12.9,1414,0.4
TRF-SEG-0012-2025-07,SEG-0012,2025,7,17174,5.0,1874,0.58
TRF-SEG-0012-2025-08,SEG-0012,2025,8,20731,11.4,1867,0.31
TRF-SEG-0012-2025-09,SEG-0012,2025,9,22316,21.3,2364,0.57
TRF-SEG-0012-2025-10,SEG-0012,2025,10,20181,8.2,2073,0.18
TRF-SEG-0012-2025-11,SEG-0012,2025,11,22555,24.7,2399,0.5
TRF-SEG-0012-2025-12,SEG-0012,2025,12,19596,21.0,2307,0.55
TRF-SEG-0013-2025-01,SEG-0013,2025,1,23072,14.4,2320,0.14
TRF-SEG-0013-2025-02,SEG-0013,2025,2,20057,23.3,1739,0.2
TRF-SEG-0013-2025-03,SEG-0013,2025,3,19576,3.3,1746,0.81
TRF-SEG-0013-2025-04,SEG-0013,2025,4,16794,18.2,1602,0.45
TRF-SEG-0013-2025-05,SEG-0013,2025,5,17484,23.0,1753,0.61
TRF-SEG-0013-2025-06,SEG-0013,2025,6,20353,15.3,2281,0.48
TRF-SEG-0013-2025-07,SEG-0013,2025,7,21026,3.2,1752,0.34
TRF-SEG-0013-2025-08,SEG-0013,2025,8,22553,20.5,2064,0.83
TRF-SEG-0013-2025-09,SEG-0013,2025,9,23172,15.2,2714,0.62
TRF-SEG-0013-2025-10,SEG-0013,2025,10,25184,4.9,2528,0.14
TRF-SEG-0013-2025-11,SEG-0013,2025,11,24130,12.3,2655,0.78
TRF-SEG-0013-2025-12,SEG-0013,2025,12,23543,7.3,2174,0.79
